Node,Demand,Pattern,Category
118,0.002061,Domestic,
118,0.002093,Domestic,
118,0.002251,Domestic,
118,0.002283,Domestic,
118,0.002315,Domestic,
118,0.002378,Domestic,
118,0.002442,Domestic,
118,0.002442,Domestic,
118,0.002537,Domestic,
118,0.002537,Domestic,
118,0.002949,Domestic,
118,0.003044,Domestic,
118,0.003139,Domestic,
118,0.003456,Domestic,
118,0.003551,Domestic,
118,0.003583,Domestic,
118,0.00371,Domestic,
118,0.003869,Domestic,
118,0.003995,Domestic,
118,0.004059,Domestic,
118,0.004154,Domestic,
118,0.004217,Domestic,
118,0.004693,Domestic,
118,0.004883,Domestic,
118,0.005391,Domestic,
118,0.006659,Domestic,
118,0.007769,Domestic,
118,0.008054,Domestic,
118,0.010211,Domestic,
118,0.027239,Domestic,
119,3.20E-05,Domestic,
119,3.20E-05,Domestic,
119,6.30E-05,Domestic,
119,6.30E-05,Domestic,
119,0.000127,Domestic,
119,0.000127,Domestic,
119,0.000127,Domestic,
119,0.000222,Domestic,
119,0.000254,Domestic,
119,0.000602,Domestic,
119,0.000824,Domestic,
119,0.000856,Domestic,
119,0.000888,Domestic,
119,0.00092,Domestic,
119,0.000951,Domestic,
119,0.000983,Domestic,
119,0.001046,Domestic,
119,0.00111,Domestic,
119,0.001237,Domestic,
119,0.0013,Domestic,
119,0.001364,Domestic,
119,0.001427,Domestic,
119,0.001585,Domestic,
119,0.001649,Domestic,
119,0.001649,Domestic,
119,0.001807,Domestic,
119,0.001839,Domestic,
119,0.001871,Domestic,
119,0.001966,Domestic,
119,0.001998,Domestic,
119,0.001998,Domestic,
119,0.002061,Domestic,
119,0.002093,Domestic,
119,0.002125,Domestic,
119,0.002156,Domestic,
119,0.002473,Domestic,
119,0.0026,Domestic,
119,0.002664,Domestic,
119,0.002759,Domestic,
119,0.002854,Domestic,
119,0.002886,Domestic,
119,0.002981,Domestic,
119,0.003012,Domestic,
119,0.003012,Domestic,
119,0.003044,Domestic,
119,0.003139,Domestic,
119,0.003266,Domestic,
119,0.003456,Domestic,
119,0.00352,Domestic,
119,0.00352,Domestic,
119,0.003551,Domestic,
119,0.003583,Domestic,
119,0.003615,Domestic,
119,0.003678,Domestic,
119,0.003805,Domestic,
119,0.003995,Domestic,
119,0.004027,Domestic,
119,0.004217,Domestic,
119,0.004249,Domestic,
119,0.004344,Domestic,
119,0.004503,Domestic,
119,0.004598,Domestic,
119,0.005105,Domestic,
119,0.005771,Domestic,
119,0.006215,Domestic,
119,0.008245,Domestic,
119,0.008593,Domestic,
119,0.021024,Domestic,
12,0.002473,Domestic,
12,0.004186,Domestic,
12,0.005549,Domestic,
12,0.00612,Domestic,
120,9.50E-05,Domestic,
120,0.000539,Domestic,
120,0.000793,Domestic,
120,0.002188,Domestic,
120,0.006088,Domestic,
121,3.20E-05,Domestic,
121,3.20E-05,Domestic,
121,6.30E-05,Domestic,
121,0.000159,Domestic,
121,0.000285,Domestic,
121,0.000285,Domestic,
121,0.000317,Domestic,
121,0.000539,Domestic,
121,0.000666,Domestic,
121,0.000729,Domestic,
121,0.000729,Domestic,
121,0.000824,Domestic,
121,0.000951,Domestic,
121,0.000983,Domestic,
121,0.001015,Domestic,
121,0.001268,Domestic,
121,0.001395,Domestic,
121,0.001522,Domestic,
121,0.001585,Domestic,
121,0.001585,Domestic,
121,0.001681,Domestic,
121,0.001744,Domestic,
121,0.001776,Domestic,
121,0.001839,Domestic,
121,0.001903,Domestic,
121,0.001934,Domestic,
121,0.001966,Domestic,
121,0.002093,Domestic,
121,0.002156,Domestic,
121,0.002283,Domestic,
121,0.002315,Domestic,
121,0.002315,Domestic,
121,0.002378,Domestic,
121,0.002378,Domestic,
121,0.002442,Domestic,
121,0.002505,Domestic,
121,0.002505,Domestic,
121,0.002632,Domestic,
121,0.002759,Domestic,
121,0.002759,Domestic,
121,0.002759,Domestic,
121,0.002886,Domestic,
121,0.002917,Domestic,
121,0.002917,Domestic,
121,0.002949,Domestic,
121,0.003012,Domestic,
121,0.003044,Domestic,
121,0.003108,Domestic,
121,0.003393,Domestic,
121,0.003488,Domestic,
121,0.00352,Domestic,
121,0.00352,Domestic,
121,0.003583,Domestic,
121,0.003615,Domestic,
121,0.003678,Domestic,
121,0.003742,Domestic,
121,0.003869,Domestic,
121,0.0039,Domestic,
121,0.004122,Domestic,
121,0.004122,Domestic,
121,0.004186,Domestic,
121,0.004249,Domestic,
121,0.004439,Domestic,
121,0.004566,Domestic,
121,0.004661,Domestic,
121,0.004693,Domestic,
121,0.005391,Domestic,
121,0.005518,Domestic,
121,0.006025,Domestic,
121,0.00631,Domestic,
121,0.006501,Domestic,
121,0.006596,Domestic,
121,0.006722,Domestic,
121,0.006944,Domestic,
121,0.006944,Domestic,
121,0.007103,Domestic,
121,0.008974,Domestic,
121,0.009418,Domestic,
121,0.010242,Domestic,
121,0.010908,Domestic,
122,0.000127,Domestic,
122,0.000127,Domestic,
122,0.001522,Domestic,
122,0.001554,Domestic,
122,0.001649,Domestic,
122,0.001966,Domestic,
122,0.002283,Domestic,
122,0.002347,Domestic,
122,0.002442,Domestic,
122,0.002759,Domestic,
122,0.003108,Domestic,
122,0.003203,Domestic,
122,0.003234,Domestic,
122,0.003488,Domestic,
122,0.004122,Domestic,
122,0.007135,Domestic,
122,0.007293,Domestic,
122,0.008276,Domestic,
122,0.013984,Domestic,
123,0.002442,Domestic,
123,0.002664,Domestic,
123,0.007801,Domestic,
124,0.001237,Domestic,
124,0.023307,Domestic,
124,0.051211,Domestic,
125,0.000444,Domestic,
125,0.000666,Domestic,
125,0.002664,Domestic,
126,0.00371,Domestic,
126,0.026795,Domestic,
126,0.057585,Domestic,
127,0.000349,Domestic,
127,0.000793,Domestic,
127,0.001142,Domestic,
127,0.001522,Domestic,
127,0.036657,Domestic,
128,3.20E-05,Domestic,
128,3.20E-05,Domestic,
128,6.30E-05,Domestic,
128,9.50E-05,Domestic,
128,0.00019,Domestic,
128,0.00019,Domestic,
128,0.00019,Domestic,
128,0.000222,Domestic,
128,0.000222,Domestic,
128,0.000254,Domestic,
128,0.000412,Domestic,
128,0.000476,Domestic,
128,0.000539,Domestic,
128,0.000602,Domestic,
128,0.000634,Domestic,
128,0.000634,Domestic,
128,0.000793,Domestic,
128,0.000793,Domestic,
128,0.001078,Domestic,
128,0.001142,Domestic,
128,0.001173,Domestic,
128,0.001173,Domestic,
128,0.001237,Domestic,
128,0.001237,Domestic,
128,0.001268,Domestic,
128,0.001332,Domestic,
128,0.001364,Domestic,
128,0.001395,Domestic,
128,0.001427,Domestic,
128,0.001585,Domestic,
128,0.001617,Domestic,
128,0.001617,Domestic,
128,0.001649,Domestic,
128,0.001681,Domestic,
128,0.001712,Domestic,
128,0.001776,Domestic,
128,0.001839,Domestic,
128,0.001934,Domestic,
128,0.001998,Domestic,
128,0.002061,Domestic,
128,0.002093,Domestic,
128,0.002125,Domestic,
128,0.002188,Domestic,
128,0.002347,Domestic,
128,0.00241,Domestic,
128,0.002473,Domestic,
128,0.002568,Domestic,
128,0.002759,Domestic,
128,0.002759,Domestic,
128,0.00279,Domestic,
128,0.002886,Domestic,
128,0.002981,Domestic,
128,0.003012,Domestic,
128,0.003012,Domestic,
128,0.003012,Domestic,
128,0.003044,Domestic,
128,0.003108,Domestic,
128,0.003171,Domestic,
128,0.003234,Domestic,
128,0.003298,Domestic,
128,0.00333,Domestic,
128,0.003393,Domestic,
128,0.003551,Domestic,
128,0.003551,Domestic,
128,0.003615,Domestic,
128,0.003647,Domestic,
128,0.00371,Domestic,
128,0.003773,Domestic,
128,0.003995,Domestic,
128,0.004154,Domestic,
128,0.004249,Domestic,
128,0.004281,Domestic,
128,0.004281,Domestic,
128,0.004535,Domestic,
